Row_Num,ID,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
554,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,5,True
555,495,Snivy,Grass,,308,45,45,55,45,55,63,5,False
556,496,Servine,Grass,,413,60,60,75,60,75,83,5,False
557,497,Serperior,Grass,,528,75,75,95,75,95,113,5,False
558,498,Tepig,Fire,,308,65,63,45,45,45,45,5,False
559,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,5,False
560,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,5,False
561,501,Oshawott,Water,,308,55,55,45,63,45,45,5,False
562,502,Dewott,Water,,413,75,75,60,83,60,60,5,False
563,503,Samurott,Water,,528,95,100,85,108,70,70,5,False
564,504,Patrat,Normal,,255,45,55,39,35,39,42,5,False
565,505,Watchog,Normal,,420,60,85,69,60,69,77,5,False
566,506,Lillipup,Normal,,275,45,60,45,25,45,55,5,False
567,507,Herdier,Normal,,370,65,80,65,35,65,60,5,False
568,508,Stoutland,Normal,,500,85,110,90,45,90,80,5,False
569,509,Purrloin,Dark,,281,41,50,37,50,37,66,5,False
570,510,Liepard,Dark,,446,64,88,50,88,50,106,5,False
571,511,Pansage,Grass,,316,50,53,48,53,48,64,5,False
572,512,Simisage,Grass,,498,75,98,63,98,63,101,5,False
573,513,Pansear,Fire,,316,50,53,48,53,48,64,5,False
574,514,Simisear,Fire,,498,75,98,63,98,63,101,5,False
575,515,Panpour,Water,,316,50,53,48,53,48,64,5,False
576,516,Simipour,Water,,498,75,98,63,98,63,101,5,False
577,517,Munna,Psychic,,292,76,25,45,67,55,24,5,False
578,518,Musharna,Psychic,,487,116,55,85,107,95,29,5,False
579,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,5,False
580,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,5,False
581,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,5,False
582,522,Blitzle,Electric,,295,45,60,32,50,32,76,5,False
583,523,Zebstrika,Electric,,497,75,100,63,80,63,116,5,False
584,524,Roggenrola,Rock,,280,55,75,85,25,25,15,5,False
585,525,Boldore,Rock,,390,70,105,105,50,40,20,5,False
586,526,Gigalith,Rock,,515,85,135,130,60,80,25,5,False
587,527,Woobat,Psychic,Flying,313,55,45,43,55,43,72,5,False
588,528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,5,False
589,529,Drilbur,Ground,,328,60,85,40,30,45,68,5,False
590,530,Excadrill,Ground,Steel,508,110,135,60,50,65,88,5,False
591,531,Audino,Normal,,445,103,60,86,60,86,50,5,False
592,531,AudinoMega Audino,Normal,Fairy,545,103,60,126,80,126,50,5,False
593,532,Timburr,Fighting,,305,75,80,55,25,35,35,5,False
594,533,Gurdurr,Fighting,,405,85,105,85,40,50,40,5,False
595,534,Conkeldurr,Fighting,,505,105,140,95,55,65,45,5,False
596,535,Tympole,Water,,294,50,50,40,50,40,64,5,False
597,536,Palpitoad,Water,Ground,384,75,65,55,65,55,69,5,False
598,537,Seismitoad,Water,Ground,509,105,95,75,85,75,74,5,False
599,538,Throh,Fighting,,465,120,100,85,30,85,45,5,False
600,539,Sawk,Fighting,,465,75,125,75,30,75,85,5,False
601,540,Sewaddle,Bug,Grass,310,45,53,70,40,60,42,5,False
602,541,Swadloon,Bug,Grass,380,55,63,90,50,80,42,5,False
603,542,Leavanny,Bug,Grass,500,75,103,80,70,80,92,5,False
604,543,Venipede,Bug,Poison,260,30,45,59,30,39,57,5,False
605,544,Whirlipede,Bug,Poison,360,40,55,99,40,79,47,5,False
606,545,Scolipede,Bug,Poison,485,60,100,89,55,69,112,5,False
607,546,Cottonee,Grass,Fairy,280,40,27,60,37,50,66,5,False
608,547,Whimsicott,Grass,Fairy,480,60,67,85,77,75,116,5,False
609,548,Petilil,Grass,,280,45,35,50,70,50,30,5,False
610,549,Lilligant,Grass,,480,70,60,75,110,75,90,5,False
611,550,Basculin,Water,,460,70,92,65,80,55,98,5,False
612,551,Sandile,Ground,Dark,292,50,72,35,35,35,65,5,False
613,552,Krokorok,Ground,Dark,351,60,82,45,45,45,74,5,False
614,553,Krookodile,Ground,Dark,519,95,117,80,65,70,92,5,False
615,554,Darumaka,Fire,,315,70,90,45,15,45,50,5,False
616,555,DarmanitanStandard Mode,Fire,,480,105,140,55,30,55,95,5,False
617,555,DarmanitanZen Mode,Fire,Psychic,540,105,30,105,140,105,55,5,False
618,556,Maractus,Grass,,461,75,86,67,106,67,60,5,False
619,557,Dwebble,Bug,Rock,325,50,65,85,35,35,55,5,False
620,558,Crustle,Bug,Rock,475,70,95,125,65,75,45,5,False
621,559,Scraggy,Dark,Fighting,348,50,75,70,35,70,48,5,False
622,560,Scrafty,Dark,Fighting,488,65,90,115,45,115,58,5,False
623,561,Sigilyph,Psychic,Flying,490,72,58,80,103,80,97,5,False
624,562,Yamask,Ghost,,303,38,30,85,55,65,30,5,False
625,563,Cofagrigus,Ghost,,483,58,50,145,95,105,30,5,False
626,564,Tirtouga,Water,Rock,355,54,78,103,53,45,22,5,False
627,565,Carracosta,Water,Rock,495,74,108,133,83,65,32,5,False
628,566,Archen,Rock,Flying,401,55,112,45,74,45,70,5,False
629,567,Archeops,Rock,Flying,567,75,140,65,112,65,110,5,False
630,568,Trubbish,Poison,,329,50,50,62,40,62,65,5,False
631,569,Garbodor,Poison,,474,80,95,82,60,82,75,5,False
632,570,Zorua,Dark,,330,40,65,40,80,40,65,5,False
633,571,Zoroark,Dark,,510,60,105,60,120,60,105,5,False
634,572,Minccino,Normal,,300,55,50,40,40,40,75,5,False
635,573,Cinccino,Normal,,470,75,95,60,65,60,115,5,False
636,574,Gothita,Psychic,,290,45,30,50,55,65,45,5,False
637,575,Gothorita,Psychic,,390,60,45,70,75,85,55,5,False
638,576,Gothitelle,Psychic,,490,70,55,95,95,110,65,5,False
639,577,Solosis,Psychic,,290,45,30,40,105,50,20,5,False
640,578,Duosion,Psychic,,370,65,40,50,125,60,30,5,False
641,579,Reuniclus,Psychic,,490,110,65,75,125,85,30,5,False
642,580,Ducklett,Water,Flying,305,62,44,50,44,50,55,5,False
643,581,Swanna,Water,Flying,473,75,87,63,87,63,98,5,False
644,582,Vanillite,Ice,,305,36,50,50,65,60,44,5,False
645,583,Vanillish,Ice,,395,51,65,65,80,75,59,5,False
646,584,Vanilluxe,Ice,,535,71,95,85,110,95,79,5,False
647,585,Deerling,Normal,Grass,335,60,60,50,40,50,75,5,False
648,586,Sawsbuck,Normal,Grass,475,80,100,70,60,70,95,5,False
649,587,Emolga,Electric,Flying,428,55,75,60,75,60,103,5,False
650,588,Karrablast,Bug,,315,50,75,45,40,45,60,5,False
651,589,Escavalier,Bug,Steel,495,70,135,105,60,105,20,5,False
652,590,Foongus,Grass,Poison,294,69,55,45,55,55,15,5,False
653,591,Amoonguss,Grass,Poison,464,114,85,70,85,80,30,5,False
654,592,Frillish,Water,Ghost,335,55,40,50,65,85,40,5,False
655,593,Jellicent,Water,Ghost,480,100,60,70,85,105,60,5,False
656,594,Alomomola,Water,,470,165,75,80,40,45,65,5,False
657,595,Joltik,Bug,Electric,319,50,47,50,57,50,65,5,False
658,596,Galvantula,Bug,Electric,472,70,77,60,97,60,108,5,False
659,597,Ferroseed,Grass,Steel,305,44,50,91,24,86,10,5,False
660,598,Ferrothorn,Grass,Steel,489,74,94,131,54,116,20,5,False
661,599,Klink,Steel,,300,40,55,70,45,60,30,5,False
662,600,Klang,Steel,,440,60,80,95,70,85,50,5,False
663,601,Klinklang,Steel,,520,60,100,115,70,85,90,5,False
664,602,Tynamo,Electric,,275,35,55,40,45,40,60,5,False
665,603,Eelektrik,Electric,,405,65,85,70,75,70,40,5,False
666,604,Eelektross,Electric,,515,85,115,80,105,80,50,5,False
667,605,Elgyem,Psychic,,335,55,55,55,85,55,30,5,False
668,606,Beheeyem,Psychic,,485,75,75,75,125,95,40,5,False
669,607,Litwick,Ghost,Fire,275,50,30,55,65,55,20,5,False
670,608,Lampent,Ghost,Fire,370,60,40,60,95,60,55,5,False
671,609,Chandelure,Ghost,Fire,520,60,55,90,145,90,80,5,False
672,610,Axew,Dragon,,320,46,87,60,30,40,57,5,False
673,611,Fraxure,Dragon,,410,66,117,70,40,50,67,5,False
674,612,Haxorus,Dragon,,540,76,147,90,60,70,97,5,False
675,613,Cubchoo,Ice,,305,55,70,40,60,40,40,5,False
676,614,Beartic,Ice,,485,95,110,80,70,80,50,5,False
677,615,Cryogonal,Ice,,485,70,50,30,95,135,105,5,False
678,616,Shelmet,Bug,,305,50,40,85,40,65,25,5,False
679,617,Accelgor,Bug,,495,80,70,40,100,60,145,5,False
680,618,Stunfisk,Ground,Electric,471,109,66,84,81,99,32,5,False
681,619,Mienfoo,Fighting,,350,45,85,50,55,50,65,5,False
682,620,Mienshao,Fighting,,510,65,125,60,95,60,105,5,False
683,621,Druddigon,Dragon,,485,77,120,90,60,90,48,5,False
684,622,Golett,Ground,Ghost,303,59,74,50,35,50,35,5,False
685,623,Golurk,Ground,Ghost,483,89,124,80,55,80,55,5,False
686,624,Pawniard,Dark,Steel,340,45,85,70,40,40,60,5,False
687,625,Bisharp,Dark,Steel,490,65,125,100,60,70,70,5,False
688,626,Bouffalant,Normal,,490,95,110,95,40,95,55,5,False
689,627,Rufflet,Normal,Flying,350,70,83,50,37,50,60,5,False
690,628,Braviary,Normal,Flying,510,100,123,75,57,75,80,5,False
691,629,Vullaby,Dark,Flying,370,70,55,75,45,65,60,5,False
692,630,Mandibuzz,Dark,Flying,510,110,65,105,55,95,80,5,False
693,631,Heatmor,Fire,,484,85,97,66,105,66,65,5,False
694,632,Durant,Bug,Steel,484,58,109,112,48,48,109,5,False
695,633,Deino,Dark,Dragon,300,52,65,50,45,50,38,5,False
696,634,Zweilous,Dark,Dragon,420,72,85,70,65,70,58,5,False
697,635,Hydreigon,Dark,Dragon,600,92,105,90,125,90,98,5,False
698,636,Larvesta,Bug,Fire,360,55,85,55,50,55,60,5,False
699,637,Volcarona,Bug,Fire,550,85,60,65,135,105,100,5,False
700,638,Cobalion,Steel,Fighting,580,91,90,129,90,72,108,5,True
701,639,Terrakion,Rock,Fighting,580,91,129,90,72,90,108,5,True
702,640,Virizion,Grass,Fighting,580,91,90,72,90,129,108,5,True
703,641,TornadusIncarnate Forme,Flying,,580,79,115,70,125,80,111,5,True
704,641,TornadusTherian Forme,Flying,,580,79,100,80,110,90,121,5,True
705,642,ThundurusIncarnate Forme,Electric,Flying,580,79,115,70,125,80,111,5,True
706,642,ThundurusTherian Forme,Electric,Flying,580,79,105,70,145,80,101,5,True
707,643,Reshiram,Dragon,Fire,680,100,120,100,150,120,90,5,True
708,644,Zekrom,Dragon,Electric,680,100,150,120,120,100,90,5,True
709,645,LandorusIncarnate Forme,Ground,Flying,600,89,125,90,115,80,101,5,True
710,645,LandorusTherian Forme,Ground,Flying,600,89,145,90,105,80,91,5,True
711,646,Kyurem,Dragon,Ice,660,125,130,90,130,90,95,5,True
712,646,KyuremBlack Kyurem,Dragon,Ice,700,125,170,100,120,90,95,5,True
713,646,KyuremWhite Kyurem,Dragon,Ice,700,125,120,90,170,100,95,5,True
714,647,KeldeoOrdinary Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
715,647,KeldeoResolute Forme,Water,Fighting,580,91,72,90,129,90,108,5,False
716,648,MeloettaAria Forme,Normal,Psychic,600,100,77,77,128,128,90,5,False
717,648,MeloettaPirouette Forme,Normal,Fighting,600,100,128,90,77,77,128,5,False
718,649,Genesect,Bug,Steel,600,71,120,95,120,95,99,5,False
719,650,Chespin,Grass,,313,56,61,65,48,45,38,6,False
720,651,Quilladin,Grass,,405,61,78,95,56,58,57,6,False
721,652,Chesnaught,Grass,Fighting,530,88,107,122,74,75,64,6,False
722,653,Fennekin,Fire,,307,40,45,40,62,60,60,6,False
723,654,Braixen,Fire,,409,59,59,58,90,70,73,6,False
724,655,Delphox,Fire,Psychic,534,75,69,72,114,100,104,6,False
725,656,Froakie,Water,,314,41,56,40,62,44,71,6,False
726,657,Frogadier,Water,,405,54,63,52,83,56,97,6,False
727,658,Greninja,Water,Dark,530,72,95,67,103,71,122,6,False
728,659,Bunnelby,Normal,,237,38,36,38,32,36,57,6,False
729,660,Diggersby,Normal,Ground,423,85,56,77,50,77,78,6,False
730,661,Fletchling,Normal,Flying,278,45,50,43,40,38,62,6,False
731,662,Fletchinder,Fire,Flying,382,62,73,55,56,52,84,6,False
732,663,Talonflame,Fire,Flying,499,78,81,71,74,69,126,6,False
733,664,Scatterbug,Bug,,200,38,35,40,27,25,35,6,False
734,665,Spewpa,Bug,,213,45,22,60,27,30,29,6,False
735,666,Vivillon,Bug,Flying,411,80,52,50,90,50,89,6,False
736,667,Litleo,Fire,Normal,369,62,50,58,73,54,72,6,False
737,668,Pyroar,Fire,Normal,507,86,68,72,109,66,106,6,False
738,669,Flabébé,Fairy,,303,44,38,39,61,79,42,6,False
739,670,Floette,Fairy,,371,54,45,47,75,98,52,6,False
740,671,Florges,Fairy,,552,78,65,68,112,154,75,6,False
741,672,Skiddo,Grass,,350,66,65,48,62,57,52,6,False
742,673,Gogoat,Grass,,531,123,100,62,97,81,68,6,False
743,674,Pancham,Fighting,,348,67,82,62,46,48,43,6,False
744,675,Pangoro,Fighting,Dark,495,95,124,78,69,71,58,6,False
745,676,Furfrou,Normal,,472,75,80,60,65,90,102,6,False
746,677,Espurr,Psychic,,355,62,48,54,63,60,68,6,False
747,678,MeowsticMale,Psychic,,466,74,48,76,83,81,104,6,False
748,678,MeowsticFemale,Psychic,,466,74,48,76,83,81,104,6,False
749,679,Honedge,Steel,Ghost,325,45,80,100,35,37,28,6,False
750,680,Doublade,Steel,Ghost,448,59,110,150,45,49,35,6,False
751,681,AegislashBlade Forme,Steel,Ghost,520,60,150,50,150,50,60,6,False
752,681,AegislashShield Forme,Steel,Ghost,520,60,50,150,50,150,60,6,False
753,682,Spritzee,Fairy,,341,78,52,60,63,65,23,6,False
754,683,Aromatisse,Fairy,,462,101,72,72,99,89,29,6,False
755,684,Swirlix,Fairy,,341,62,48,66,59,57,49,6,False
756,685,Slurpuff,Fairy,,480,82,80,86,85,75,72,6,False
757,686,Inkay,Dark,Psychic,288,53,54,53,37,46,45,6,False
758,687,Malamar,Dark,Psychic,482,86,92,88,68,75,73,6,False
759,688,Binacle,Rock,Water,306,42,52,67,39,56,50,6,False
760,689,Barbaracle,Rock,Water,500,72,105,115,54,86,68,6,False
761,690,Skrelp,Poison,Water,320,50,60,60,60,60,30,6,False
762,691,Dragalge,Poison,Dragon,494,65,75,90,97,123,44,6,False
763,692,Clauncher,Water,,330,50,53,62,58,63,44,6,False
764,693,Clawitzer,Water,,500,71,73,88,120,89,59,6,False
765,694,Helioptile,Electric,Normal,289,44,38,33,61,43,70,6,False
766,695,Heliolisk,Electric,Normal,481,62,55,52,109,94,109,6,False
767,696,Tyrunt,Rock,Dragon,362,58,89,77,45,45,48,6,False
768,697,Tyrantrum,Rock,Dragon,521,82,121,119,69,59,71,6,False
769,698,Amaura,Rock,Ice,362,77,59,50,67,63,46,6,False
770,699,Aurorus,Rock,Ice,521,123,77,72,99,92,58,6,False
771,700,Sylveon,Fairy,,525,95,65,65,110,130,60,6,False
772,701,Hawlucha,Fighting,Flying,500,78,92,75,74,63,118,6,False
773,702,Dedenne,Electric,Fairy,431,67,58,57,81,67,101,6,False
774,703,Carbink,Rock,Fairy,500,50,50,150,50,150,50,6,False
775,704,Goomy,Dragon,,300,45,50,35,55,75,40,6,False
776,705,Sliggoo,Dragon,,452,68,75,53,83,113,60,6,False
777,706,Goodra,Dragon,,600,90,100,70,110,150,80,6,False
778,707,Klefki,Steel,Fairy,470,57,80,91,80,87,75,6,False
779,708,Phantump,Ghost,Grass,309,43,70,48,50,60,38,6,False
780,709,Trevenant,Ghost,Grass,474,85,110,76,65,82,56,6,False
781,710,PumpkabooAverage Size,Ghost,Grass,335,49,66,70,44,55,51,6,False
782,710,PumpkabooSmall Size,Ghost,Grass,335,44,66,70,44,55,56,6,False
783,710,PumpkabooLarge Size,Ghost,Grass,335,54,66,70,44,55,46,6,False
784,710,PumpkabooSuper Size,Ghost,Grass,335,59,66,70,44,55,41,6,False
785,711,GourgeistAverage Size,Ghost,Grass,494,65,90,122,58,75,84,6,False
786,711,GourgeistSmall Size,Ghost,Grass,494,55,85,122,58,75,99,6,False
787,711,GourgeistLarge Size,Ghost,Grass,494,75,95,122,58,75,69,6,False
788,711,GourgeistSuper Size,Ghost,Grass,494,85,100,122,58,75,54,6,False
789,712,Bergmite,Ice,,304,55,69,85,32,35,28,6,False
790,713,Avalugg,Ice,,514,95,117,184,44,46,28,6,False
791,714,Noibat,Flying,Dragon,245,40,30,35,45,40,55,6,False
792,715,Noivern,Flying,Dragon,535,85,70,80,97,80,123,6,False
793,716,Xerneas,Fairy,,680,126,131,95,131,98,99,6,True
794,717,Yveltal,Dark,Flying,680,126,131,95,131,98,99,6,True
795,718,Zygarde50% Forme,Dragon,Ground,600,108,100,121,81,95,95,6,True
796,719,Diancie,Rock,Fairy,600,50,100,150,100,150,50,6,True
797,719,DiancieMega Diancie,Rock,Fairy,700,50,160,110,160,110,110,6,True
798,720,HoopaHoopa Confined,Psychic,Ghost,600,80,110,60,150,130,70,6,True
799,720,HoopaHoopa Unbound,Psychic,Dark,680,80,160,60,170,130,80,6,True
800,721,Volcanion,Fire,Water,600,80,110,120,130,90,70,6,True
